Trip_ID,Accel_Mean,Accel_Std,Accel_Max,Accel_Min,Accel_Range,Gyro_Mean,Gyro_Std,Gyro_Max,Gyro_Min,Gyro_Range,Accel_Spike_Count,Gyro_Spike_Count,Total_Sensor_Spikes,Duration_Min_x,Accel_Spikes_Per_10_Min,Gyro_Spikes_Per_10_Min,Total_Spikes_Per_10_Min,Driver_ID,Vehicle_ID,Trip_Date,Duration_Min_y,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Accel_Variability_Z,Gyro_Variability_Z,Sensor_Variability_Index
T00001,1.015942849371013,0.07193238908424672,1.186010539582174,0.9058553968487465,0.28015514273342756,2.626879318044309,1.0672700618836541,5.05419627636284,0.8562125904236635,4.197983685939176,2,0,2,16,1.25,0.0,1.25,D01,V01,2026-08-04,16,9.34,28.7,39.4,-0.06496033400746445,-1.3179307415584087,-0.6914455377829366
T00002,0.9981214659653616,0.04317178418357944,1.07032004559384,0.8954568666328937,0.17486317896094627,4.626561836212162,7.208373975108703,36.400853011983116,0.8315647900193947,35.569288221963724,0,1,1,22,0.0,0.4545454545454546,0.4545454545454546,D01,V01,2026-08-02,22,5.0,28.5,54.4,-0.7122116755377031,0.17980820651100093,-0.2662017345133511
T00003,1.0168001188706366,0.08421880685859248,1.1912199628951825,0.8812916656816857,0.3099282972134968,4.699843083707394,6.789118059552954,38.31371294980428,2.0432572035845125,36.27045574621977,4,1,5,27,1.4814814814814814,0.37037037037037035,1.8518518518518516,D01,V01,2026-07-31,27,7.25,16.9,32.7,0.21154290417240285,0.07755689749405588,0.14454990083322936
T00004,1.004190567676735,0.05943017200806016,1.223474151749844,0.8712938654667551,0.35218028628308884,7.708967822806433,12.728350758695036,54.095155975373615,1.059669759878048,53.03548621549557,1,5,6,42,0.23809523809523808,1.1904761904761905,1.4285714285714284,D01,V01,2026-07-31,42,9.27,23.9,40.4,-0.3463200899170581,1.526061964473293,0.5898709372781175
T00005,1.0404150700687913,0.0914955671325,1.2658645267168205,0.9042792710219559,0.36158525569486455,6.098401847544783,12.215527119804703,46.65755351494546,1.7555056251689993,44.90204788977646,1,1,2,13,0.7692307692307693,0.7692307692307693,1.5384615384615385,D01,V01,2026-08-01,13,7.74,28.7,42.5,0.3753048579125104,1.4009906502096372,0.8881477540610738
T00006,1.0376359515598574,0.07437592523380064,1.1910377827760124,0.9319104034186978,0.25912737935731456,5.227250844770779,8.662947033554333,40.71288002585914,1.3183702059740277,39.394509819885116,3,1,4,19,1.5789473684210527,0.5263157894736842,2.1052631578947367,D01,V01,2026-08-05,19,11.26,21.7,33.4,-0.009969068825843934,0.5345605040181065,0.2622957175961313
T00007,1.0517059681150167,0.05367784157680774,1.1989353610599698,0.9925905500255379,0.20634481103443192,3.610976096774266,1.572885756179052,6.751570187741515,1.39663882231592,5.354931365425594,1,0,1,15,0.6666666666666666,0.0,0.6666666666666666,D01,V01,2026-08-03,15,6.2,20.0,38.2,-0.4757750718763202,-1.1946173554307864,-0.8351962136535533
T00008,1.0323590206089621,0.09338428069802206,1.405850632179678,0.8660767864340898,0.5397738457455882,6.52930803927015,10.93985591502604,50.628053488160106,0.7933473388119481,49.83470614934816,2,5,7,41,0.4878048780487805,1.2195121951219512,1.707317073170732,D01,V01,2026-08-04,41,14.97,25.3,41.7,0.4178099579711726,1.0898702921559251,0.7538401250635489
T00009,1.086552703846149,0.18094869205599987,1.6397326001516224,0.9404918925753692,0.6992407075762531,5.110172455488585,8.559156620699921,48.700853175278155,1.0543718509140882,47.64648132436407,7,3,10,31,2.258064516129032,0.967741935483871,3.225806451612903,D01,V01,2026-08-06,31,17.09,23.8,42.3,2.3884285495308326,0.5092473118030246,1.4488379306669286
T00010,1.0130179965443091,0.0868266549569978,1.4205565810625074,0.9094927157487299,0.5110638653137775,4.52194448494512,7.329995516023218,44.39888061652005,1.1136426715962353,43.285237944923814,1,2,3,33,0.30303030303030304,0.6060606060606061,0.9090909090909092,D01,V01,2026-08-05,33,16.27,30.6,47.5,0.2702319750744117,0.20947018932806505,0.23985108220123838
