Vehicle_ID,Total_Trips,Avg_Accel_Variability,Max_Accel_Variability,Avg_Accel_Range,Avg_Gyro_Variability,Max_Gyro_Variability,Avg_Gyro_Range,Avg_Accel_Spikes_Per_10_Min,Avg_Gyro_Spikes_Per_10_Min,Avg_Total_Sensor_Spikes,Avg_Sensor_Variability,Vehicle_Type,Make,Model,Manufacture_Year,Registration_Date,Odometer_KM_Start_of_Week,Last_Service_Date,Vehicle_Age_Years,Days_Since_Last_Service,Accel_Variability_Percentile,Gyro_Variability_Percentile,Sensor_Spike_Percentile,High_Accel_Variability,High_Gyro_Variability,High_Sensor_Spikes,Anomaly_Indicator_Count,Maintenance_Candidate,Accel_Percentile,Gyro_Percentile,Spike_Percentile,Accel_Anomaly_Risk,Gyro_Anomaly_Risk,Spike_Anomaly_Risk,Accel_Health,Gyro_Health,Spike_Health,Vehicle_Health_Score,Health_Category,Maintenance_Priority,Primary_Health_Concern,Acceleration_Contribution,Gyroscope_Contribution,Spike_Contribution,Score_Check,Maintenance_Rank,Health_Explanation
V01,15,0.0814901295243741,0.1809486920559998,0.3763117856308489,8.136740113727809,12.981530167518398,38.01142577127139,0.7347728054917806,0.5918445347119246,1.326617340203705,0.278179885316794,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,2021,2021-04-23,22820,2026-06-08,5,74,0.7,0.7,0.7333333333333333,0,0,0,0,0,0.7,0.7,0.7333333333333333,70.0,70.0,73.33333333333333,30.0,30.0,26.66666666666667,29.166666666666668,Maintenance Review,High,High sensor spike frequency,12.0,10.5,6.666666666666668,29.166666666666668,10,High sensor spike frequency is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V02,16,0.1509291736086707,0.2553544681733084,0.6636117889496769,6.074133954199649,13.277175119971362,27.14872864411289,1.1567571430128591,0.890994151425946,2.047751294438805,0.8080133907426582,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,2021,2021-03-26,46601,2026-05-06,5,107,1.0,0.4333333333333333,1.0,1,0,1,2,1,1.0,0.43333333333333335,1.0,100.0,43.333333333333336,100.0,0.0,56.666666666666664,0.0,19.833333333333332,Maintenance Review,High,High acceleration variability,0.0,19.833333333333332,0.0,19.833333333333332,4,High acceleration variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V03,16,0.0661627014507729,0.1056047538532927,0.2919660117391871,8.524780181908403,13.232652740819349,40.32189709336132,0.9177116409902504,0.6941322742246041,1.6118439152148545,0.1530286946661536,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,2022,2022-11-07,14883,2026-07-08,4,44,0.4333333333333333,0.9,0.8666666666666667,0,0,0,0,0,0.43333333333333335,0.9,0.8666666666666667,43.333333333333336,90.0,86.66666666666667,56.666666666666664,10.0,13.333333333333329,29.5,Maintenance Review,High,High gyroscope variability,22.666666666666668,3.5,3.333333333333332,29.5,11,High gyroscope variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V04,15,0.0513358915160853,0.1302413491953228,0.2480698309333261,7.761655660389413,11.43534848458188,35.766308892254806,0.2462937756268064,0.6274145203581907,0.8737082959849972,-0.1068667139659188,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,2020,2020-07-02,5533,2026-07-19,6,33,0.1333333333333333,0.6666666666666666,0.5333333333333333,0,0,0,0,0,0.13333333333333333,0.6666666666666666,0.5333333333333333,13.333333333333334,66.66666666666666,53.333333333333336,86.66666666666667,33.33333333333334,46.666666666666664,58.00000000000001,Monitor,Medium,High gyroscope variability,34.66666666666667,11.66666666666667,11.666666666666666,58.00000000000001,19,High gyroscope variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V05,15,0.061866597242942,0.1438644755019429,0.304280366198231,4.584334906352553,8.466149513382305,25.62613715125485,0.1767539897621198,0.2942384926124763,0.4709924823745962,-0.3758255879845167,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,2025,2025-02-25,2727,2026-07-12,1,40,0.3333333333333333,0.3,0.1666666666666666,0,0,0,0,0,0.3333333333333333,0.3,0.16666666666666666,33.33333333333333,30.0,16.666666666666664,66.66666666666667,70.0,83.33333333333334,72.0,Monitor,Medium,High acceleration variability,26.66666666666667,24.5,20.833333333333336,72.0,25,High acceleration variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V06,16,0.0639706611488767,0.0890349490500907,0.2905229171698585,8.681525721539472,16.475582739156092,40.33554363802278,0.5996543066616506,0.667193096708473,1.2668474033701236,0.1474771374177582,Two-Wheeler (Scooter/Motorcycle),Ola,S1,2025,2025-03-25,3065,2026-07-18,1,34,0.3666666666666666,0.9333333333333332,0.7,0,0,0,0,0,0.36666666666666664,0.9333333333333333,0.7,36.666666666666664,93.33333333333333,70.0,63.333333333333336,6.666666666666671,30.0,35.16666666666667,Maintenance Review,High,High gyroscope variability,25.333333333333336,2.333333333333335,7.5,35.16666666666667,12,High gyroscope variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V07,15,0.0476565786175189,0.0942795585071042,0.2350417326811174,6.883234292729554,12.40559024240414,34.20852749337131,0.2066794993624262,0.4081622182054912,0.6148417175679174,-0.2553858230635364,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,2021,2021-01-21,6030,2026-07-14,5,38,0.0333333333333333,0.5666666666666667,0.3,0,0,0,0,0,0.03333333333333333,0.5666666666666667,0.3,3.3333333333333335,56.666666666666664,30.0,96.66666666666667,43.333333333333336,70.0,71.33333333333334,Monitor,Medium,High gyroscope variability,38.66666666666667,15.166666666666666,17.5,71.33333333333334,24,High gyroscope variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V08,15,0.0671461406590196,0.1520510359197755,0.3529171251949159,5.79195763389198,9.46898079211924,30.44556874686974,0.456743094568557,0.3958379154699576,0.8525810100385147,-0.1691559930464746,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,2021,2021-11-03,11444,2026-07-12,5,40,0.5,0.4,0.5,0,0,0,0,0,0.5,0.4,0.5,50.0,40.0,50.0,50.0,60.0,50.0,53.5,Monitor,Medium,High acceleration variability,20.0,21.0,12.5,53.5,17,High acceleration variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V09,17,0.0525035370399906,0.1351307835399967,0.2513112461824873,3.244205266140939,10.746297000501464,16.387834606851495,0.1729907080569583,0.1354031235486301,0.3083938316055885,-0.6446029193986558,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,2020,2020-01-26,14294,2026-07-24,6,28,0.2,0.0333333333333333,0.0666666666666666,0,0,0,0,0,0.2,0.03333333333333333,0.06666666666666667,20.0,3.3333333333333335,6.666666666666667,80.0,96.66666666666667,93.33333333333333,89.16666666666667,Healthy,Low,High acceleration variability,32.0,33.833333333333336,23.333333333333332,89.16666666666667,29,High acceleration variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
V10,16,0.0810660078215489,0.1974328753732168,0.3805394613017595,5.701534981233815,12.704120218147462,28.72992448509976,0.4415580387667429,0.3712440153277194,0.8128020540944623,-0.0235506379291867,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2019,2019-01-23,30162,2026-07-01,7,51,0.6666666666666666,0.3666666666666666,0.4666666666666667,0,0,0,0,0,0.6666666666666666,0.36666666666666664,0.4666666666666667,66.66666666666666,36.666666666666664,46.666666666666664,33.33333333333334,63.333333333333336,53.333333333333336,48.83333333333334,Maintenance Review,High,High acceleration variability,13.333333333333337,22.166666666666668,13.333333333333334,48.83333333333334,15,High acceleration variability is the strongest contributor to the vehicle's relative sensor-anomaly profile.
